# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
2.750       1.8849556       4.8624598       1.6497937
2.750       1.9163715       4.7462047       1.6922162
2.750       1.9477874       4.6268811       1.7321412
2.750       1.9792034       4.4941731       1.7651895
2.750       2.0106193       4.4243708       1.8218445
2.750       2.0734512       4.1677758       1.8821578
2.750       2.1362830       4.0777550       2.0140384
2.750       2.1991149       3.8990591       2.1007473
2.750       2.2619467       3.7154783       2.1783723
2.750       2.3247786       3.6392796       2.3164902
2.750       2.3876104       3.4118532       2.3526157
2.750       2.4504423       3.2824926       2.4468505
2.750       2.5132741       3.2114906       2.5828340
2.750       2.5761060       3.1101329       2.6936452
2.750       2.6389378       2.9753794       2.7701296
2.750       2.7017697       2.8890138       2.8864553
2.750       2.7646015       2.8339346       3.0335959
2.750       2.8274334       2.7338708       3.1305842
2.750       2.8902652       2.6706340       3.2666134
2.750       2.9530971       2.5559251       3.3346600
2.750       3.0159289       2.5330332       3.5202577
2.750       3.0787608       2.4181772       3.5750838
2.750       3.1415927       2.3999957       3.7699044
2.750       3.2044245       2.3311035       3.8858134
2.750       3.2672564       2.2609496       3.9949447
2.750       3.3300882       2.1845890       4.0870243
2.750       3.3929201       2.1221923       4.1992901
2.750       3.4557519       2.0672289       4.3220173
2.750       3.5185838       2.0379119       4.4973776
2.750       3.5814156       1.9907775       4.6329450
2.750       3.6442475       1.9454453       4.7699395
2.750       3.7070793       1.8923276       4.8838490
2.750       3.7699112       1.8657530       5.0642806
2.750       3.8327430       1.8057297       5.1505323
2.750       3.8955749       1.7630431       5.2801695
2.750       3.9584067       1.7208873       5.4073431
2.750       4.0212386       1.6981627       5.5940854
2.750       4.1469023       1.6245465       5.8691312
2.750       4.2725660       1.5818173       6.2501859
2.750       4.3982297       1.4830904       6.3925126
2.750       4.5238934       1.4641052       6.8671992
2.750       4.6495571       1.3836080       7.0456019
2.750       4.7752208       1.3439763       7.4138237
2.750       4.9008845       1.3001454       7.7532821
2.750       5.0265482       1.2473523       8.0254418
2.750       5.1522120       1.2015970       8.3254988
2.750       5.2778757       1.1478569       8.5493965
2.750       5.4035394       1.1228920       8.9751811
2.750       5.5292031       1.0781270       9.2326806
2.750       5.6548668       1.0473222       9.5943970
2.750       5.7805305       1.0232604       10.012892
2.750       5.9061942      0.98290827       10.259033
2.750       6.0318579      0.96037523       10.677375
2.750       6.1575216      0.91664857       10.841540
2.750       6.2831853      0.88396192       11.108193
2.750       6.4088490      0.85929961       11.459218
2.750       6.5345127      0.83630027       11.821487
2.750       6.6601764      0.81742771       12.234235
2.750       6.7858401      0.79720633       12.619782
2.750       6.9115038      0.77182193       12.909370
2.750       7.0371675      0.75868730       13.394507
2.750       7.1628313      0.73178148       13.624038
2.750       7.2884950      0.70871310       13.901264
2.750       7.4141587      0.68344658       14.111087
2.750       7.5398224      0.66719289       14.487886
2.750       7.6654861      0.65095080       14.853798
2.750       7.7911498      0.63119671       15.123059
2.750       7.9168135      0.62121315       15.615724
2.750       8.0424772      0.60017063       15.816650
2.750       8.2938046      0.57381470       16.584536
2.750       8.5451320      0.54067157       17.090711
2.750       8.7964594      0.51511735       17.762339
2.750       9.0477868      0.49806498       18.688883
2.750       9.2991143      0.46616311       18.990347
2.750       9.5504417      0.45755046       20.192013
2.750       9.8017691      0.43684035       20.840417
2.750       10.053096      0.42108250       21.673897
2.750       10.304424      0.40118859       22.237706
2.750       10.555751      0.38179025       22.749012
2.750       10.807079      0.36068840       23.063615
2.750       11.058406      0.35062617       24.021061
2.750       11.309734      0.34143993       25.023133
2.750       11.561061      0.32539843       25.472923
2.750       11.812388      0.31874887       26.615343
2.750       12.063716      0.30403535       27.041926
2.750       12.315043      0.29707582       28.108999
2.750       12.566371      0.28053647       28.202602
2.750       12.817698      0.27283008       29.106676
2.750       13.069025      0.26157601       29.579974
2.750       13.320353      0.25521072       30.557397
2.750       13.571680      0.24001271       30.395225
2.750       13.823008      0.23383409       31.288572
2.750       14.074335      0.22614360       31.940243
2.750       14.325663      0.21871574       32.575752
2.750       14.576990      0.21107886       33.122153
2.750       14.828317      0.20589569       34.008943
2.750       15.079645      0.19848331       34.480026
2.750       15.330972      0.19391488       35.398958
2.750       15.582300      0.18334176       35.141986
2.750       15.833627      0.18279925       36.760880
2.750       16.084954      0.17270744       36.411687
2.750       16.587609      0.16542720       38.249746
2.750       17.090264      0.15468638       39.117281
2.750       17.592919      0.14731126       40.636838
2.750       18.095574      0.13457508       40.397266
2.750       18.598229      0.12892519       42.016782
2.750       19.100883      0.12324645       43.511598
2.750       19.603538      0.11607149       44.299538
2.750       20.106193      0.11347857       46.727618
2.750       20.608848      0.10360761       45.943393
2.750       21.111503      0.10054738       47.929009
2.750       21.614157     0.095596111       48.901865
2.750       22.116812     0.091870587       50.351724
2.750       22.619467     0.086989100       51.001412
2.750       23.122122     0.081962139       51.329449
2.750       23.624777     0.078446683       52.402015
2.750       24.127432     0.076680262       54.561604
2.750       24.630086     0.073408436       55.566628
2.750       25.132741     0.070021656       56.314757
2.750       25.635396     0.067516877       57.623907
2.750       26.138051     0.065741227       59.474070
2.750       26.640706     0.063563499       60.885689
2.750       27.143361     0.061851681       62.663206
2.750       27.646015     0.057254700       61.288506
2.750       28.148670     0.056115149       63.405076
2.750       28.651325     0.053281784       63.486758
2.750       29.153980     0.053390999       67.024233
2.750       29.656635     0.049321547       65.173726
2.750       30.159289     0.047568078       66.107264
2.750       30.661944     0.047747443       69.729966
2.750       31.164599     0.046519281       71.332572
2.750       31.667254     0.044842517       72.142545
2.750       32.169909     0.042175057       71.133704
2.750       33.175218     0.041757121       77.239984
2.750       34.180528     0.038861233       78.618207
2.750       35.185838     0.038305974       84.535758
2.750       36.191147     0.035317703       84.814434
2.750       37.196457     0.033772297       88.051262
2.750       38.201767     0.032151245       90.806805
2.750       39.207076     0.030711494       93.770143
2.750       40.212386     0.029663842       97.718587
2.750       41.217696     0.028441032       100.89432
2.750       42.223005     0.027536808       105.01015
2.750       43.228315     0.026711664       109.31408
2.750       44.233625     0.025858602       113.37907
2.750       45.238934     0.024203885       113.52524
2.750       46.244244     0.024959836       125.05039
2.750       47.249554     0.024531459       131.09519
2.750       48.254863     0.023251233       132.35474
2.750       49.260173     0.022098134       133.81773
2.750       50.265482     0.021599289       138.96943
2.750       51.270792     0.021704676       148.19503
2.750       52.276102     0.022139837       160.23385
2.750       53.281411     0.021337532       163.50898
2.750       54.286721     0.020351282       164.94641
2.750       55.292031     0.019799236       169.55333
2.750       56.297340     0.019972645       180.53835
2.750       57.302650     0.019519847       186.06761
2.750       58.307960     0.018790408       188.70787
2.750       59.313269     0.018939655       200.21560
2.750       60.318579     0.018469947       205.34740
2.750       61.323889     0.018089134       211.33776
2.750       62.329198     0.017983021       220.60103
2.750       63.334508     0.017581974       226.28673
2.750       64.339818     0.018629010       251.36193
2.750       66.350437     0.017700968       261.93808
2.750       68.361056     0.018595160       300.95147
2.750       70.371675     0.016736962       295.48848
2.750       72.382295     0.016499622       316.98689
2.750       74.392914     0.016191853       337.72369
2.750       76.403533     0.015389833       347.73188
2.750       78.414153     0.015080689       368.36198
2.750       80.424772     0.015857958       417.91412
2.750       82.435391     0.016384046       464.97812
2.750       84.446011     0.015370667       468.92177
2.750       86.456630     0.013783954       451.27263
2.750       88.467249     0.014535791       509.86654
2.750       90.477868     0.015016028       563.44613
2.750       92.488488     0.014684181       588.54952
2.750       94.499107     0.014191949       606.72991
2.750       96.509726     0.013524170       615.87721
2.750       98.520346     0.013903837       673.56995
2.750       100.53096     0.013692615       704.78428
2.750       102.54158     0.013480550       736.33925
2.750       104.55220     0.012679320       734.11786
2.750       106.56282     0.014231910       872.47016
2.750       108.57344     0.013505379       875.68486
2.750       110.58406     0.013070874       895.47300
2.750       112.59468     0.013590353       982.77617
2.750       114.60530     0.013310135       1015.0018
2.750       116.61592     0.013491108       1083.9054
2.750       118.62654     0.012254658       1036.3752
2.750       120.63716     0.011988396       1066.2883
2.750       122.64778     0.012467951       1165.3178
2.750       124.65840     0.012294271       1206.5287
2.750       126.66902     0.012533169       1290.4535
2.750       128.67964     0.012005802       1295.9579
2.750       132.70087     0.010794438       1277.8846
2.750       136.72211     0.011440836       1481.3044
2.750       140.74335     0.010950130       1546.5828
2.750       144.76459     0.011344172       1743.5327
2.750       148.78583     0.010104544       1686.0548
2.750       152.80707     0.010538354       1904.9052
2.750       156.82831     0.010171438       1987.5862
2.750       160.84954     0.010217329       2154.1064
2.750       164.87078     0.010194677       2314.5939
2.750       168.89202     0.010733130       2619.5341
2.750       172.91326     0.010162537       2661.6888
2.750       176.93450    0.0094615601       2655.0369
2.750       180.95574    0.0094094707       2824.5712
2.750       184.97698    0.0088730577       2845.0938
2.750       188.99821    0.0081504494       2787.5644
2.750       193.01945    0.0085511598       3115.2903
2.750       197.04069    0.0084389223       3270.5818
2.750       201.06193    0.0080922597       3332.1889
2.750       205.08317    0.0082944998       3624.5201
