# z        k [h/Mpc]   P(k) [(Mpc/h)^3]    Delta^2(k)   
2.750       72.382295     0.022746487       437.00020
2.750       74.392914     0.022491065       469.11033
2.750       76.403533     0.020331008       459.37728
2.750       78.414153     0.021141587       516.40590
2.750       80.424772     0.020374638       536.94485
2.750       82.435391     0.020661062       586.35955
2.750       84.446011     0.019939381       608.30214
2.750       86.456630     0.018816497       616.03296
2.750       88.467249     0.018144993       636.46517
2.750       90.477868     0.018976230       712.04474
2.750       92.488488     0.017527298       702.50315
2.750       94.499107     0.017258579       737.83358
2.750       96.509726     0.016917980       770.42793
2.750       98.520346     0.015153001       734.08556
2.750       100.53096     0.015998308       823.46258
2.750       102.54158     0.015271346       834.15669
2.750       104.55220     0.015337486       888.02256
2.750       106.56282     0.014884730       912.49056
2.750       108.57344     0.015289092       991.34031
2.750       110.58406     0.014615958       1001.3252
2.750       112.59468     0.013685795       989.67802
2.750       114.60530     0.014516152       1106.9700
2.750       116.61592     0.013438195       1079.6543
2.750       118.62654     0.014250594       1205.1714
2.750       120.63716     0.013189172       1173.0894
2.750       122.64778     0.012861297       1202.0819
2.750       124.65840     0.012991285       1274.9319
2.750       126.66902     0.012054157       1241.1329
2.750       128.67964     0.012522091       1351.6884
2.750       132.70087     0.012812181       1516.7523
2.750       136.72211     0.013048946       1689.5147
2.750       140.74335     0.011453560       1617.6867
2.750       144.76459     0.011149489       1713.6110
2.750       148.78583     0.010822453       1805.8458
2.750       152.80707     0.010487852       1895.7765
2.750       156.82831     0.011653419       2277.1780
2.750       160.84954     0.010692253       2254.2339
2.750       164.87078     0.010555292       2396.4678
2.750       168.89202    0.0093600791       2284.4264
2.750       172.91326     0.010140809       2655.9981
2.750       176.93450    0.0092553838       2597.1812
2.750       180.95574    0.0090826718       2726.4714
2.750       184.97698    0.0077885305       2497.3465
2.750       188.99821    0.0090262912       3087.1142
2.750       193.01945    0.0088196379       3213.1001
2.750       197.04069    0.0084454388       3273.1073
2.750       201.06193    0.0077391838       3186.8011
